id,item1,item2,item3,item4,item5,item6,group
1,3,2,3,1,1,1,1
2,3,1,1,1,1,1,1
3,1,1,1,1,1,1,2
4,1,1,3,1,1,1,2
5,3,1,2,1,1,1,2
6,1,1,2,1,1,1,2
7,3,2,2,1,1,1,1
8,3,2,2,1,1,1,2
9,3,2,2,1,1,1,2
10,2,1,1,1,1,1,2
11,1,1,1,1,1,1,2
12,1,1,1,1,1,1,1
13,2,1,1,1,1,1,2
14,2,1,1,1,1,1,2
15,2,1,2,1,1,1,2
16,1,1,1,1,1,1,2
17,1,1,1,1,1,1,1
18,1,1,2,1,2,2,2
19,2,1,1,1,1,1,1
20,2,1,1,1,1,1,2
21,1,1,1,1,1,1,2
22,1,1,1,1,1,1,2
23,2,1,1,1,1,1,1
24,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1
26,3,1,2,1,1,1,1
27,3,1,2,1,1,1,1
28,1,1,1,1,1,1,2
29,3,2,2,1,1,1,1
30,3,1,1,1,1,1,1
31,1,1,1,1,1,1,1
32,1,1,1,1,1,1,2
33,2,1,1,1,1,1,1
34,1,1,1,2,1,1,2
35,2,1,1,1,1,1,2
36,2,1,1,1,1,1,2
37,1,1,2,1,1,1,1
38,2,1,2,3,1,3,1
39,3,1,1,1,1,1,2
40,1,1,1,1,1,1,2
41,1,1,1,1,1,1,2
42,1,1,1,1,1,1,1
43,1,1,2,1,3,3,1
44,2,1,3,1,1,1,1
45,1,1,1,1,1,1,2
46,1,1,1,1,1,1,2
47,2,1,1,1,1,1,1
48,2,1,1,1,1,1,1
49,2,1,1,1,1,1,1
50,3,1,2,1,1,1,1
51,2,1,1,1,1,1,2
52,1,1,1,1,1,1,1
53,1,1,1,1,1,1,2
54,1,1,1,1,1,1,2
55,1,1,1,1,1,1,2
56,1,1,1,1,1,1,1
57,1,1,1,1,1,1,2
58,1,1,1,1,1,1,2
59,2,1,2,1,1,1,1
60,2,2,1,1,1,1,2
61,2,1,1,1,1,1,1
62,1,1,2,1,1,1,1
63,1,1,2,1,1,1,1
64,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1
66,1,1,1,1,1,1,1
67,2,1,2,1,1,1,2
68,2,1,1,1,1,1,1
69,1,1,1,1,1,1,1
70,1,1,2,1,1,1,1
71,3,1,3,1,1,1,1
72,3,1,3,1,1,1,2
73,2,1,1,1,1,1,1
74,1,1,1,1,1,1,1
75,1,1,1,1,1,1,2
76,2,2,1,1,1,1,1
77,4,1,1,1,1,1,1
78,1,1,3,1,1,1,1
79,2,2,1,1,1,1,1
80,2,1,1,1,1,1,1
81,1,1,1,1,1,1,2
82,2,1,1,1,1,1,2
83,2,4,4,1,1,1,1
84,2,1,1,1,1,1,2
85,2,1,1,1,1,1,2
86,2,2,1,1,1,1,2
87,1,1,1,1,1,1,2
88,2,3,1,1,1,1,1
89,2,1,3,1,1,1,1
90,1,1,1,1,1,1,2
91,3,1,1,1,1,1,2
92,2,1,1,1,1,1,1
93,3,2,2,3,3,3,2
94,2,1,2,1,1,1,1
95,2,1,2,1,1,1,1
96,1,1,1,1,1,1,1
97,2,1,1,1,1,1,1
98,1,1,2,1,1,1,1
99,2,1,1,1,1,1,1
100,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1
102,2,2,3,1,2,1,1
103,3,2,1,1,1,1,2
104,1,1,1,1,1,1,2
105,2,1,2,1,1,1,2
106,2,1,2,1,1,1,2
107,2,1,1,1,1,1,1
108,2,1,2,1,1,1,1
109,3,2,3,1,1,1,1
110,1,1,2,1,1,1,1
111,2,1,1,1,1,1,1
112,2,1,2,1,1,1,2
113,2,1,1,1,1,1,1
114,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1
116,2,1,2,1,1,1,1
117,2,1,1,1,1,1,2
118,2,1,2,1,1,1,1
119,3,1,1,2,1,1,1
120,2,2,2,1,1,1,2
121,2,2,2,1,1,1,2
122,3,2,4,1,1,1,1
123,2,1,2,1,1,1,2
124,1,1,1,1,1,1,1
125,1,1,1,1,1,1,2
126,2,1,2,1,1,1,2
127,3,1,2,1,1,1,2
128,4,1,4,3,1,1,1
129,1,1,1,1,1,1,2
130,1,1,2,1,1,1,1
131,1,1,2,1,1,1,1
132,1,1,1,1,1,1,2
133,1,1,1,1,1,1,2
134,1,1,2,1,1,1,2
135,3,3,2,1,1,1,1
136,1,1,2,1,1,1,2
137,2,1,1,1,1,1,1
138,3,1,2,1,1,1,2
139,1,1,1,1,1,1,1
140,2,1,2,1,1,1,1
141,2,1,1,1,1,1,2
142,2,2,1,1,1,1,1
143,1,1,1,1,1,1,2
144,1,1,1,1,1,1,2
145,2,1,2,1,1,1,2
146,3,1,4,1,1,1,1
147,3,1,2,1,1,1,1
148,1,1,1,1,1,1,2
149,2,2,2,1,1,1,1
150,1,1,1,1,1,1,2
151,2,1,1,1,1,1,2
152,1,1,1,1,1,1,2
153,1,1,1,1,1,1,2
154,1,1,1,1,1,1,2
155,2,3,3,1,2,1,2
156,2,2,3,2,1,1,1
157,3,1,2,1,1,1,2
158,1,1,1,1,1,1,1
159,2,3,2,2,1,1,1
160,2,1,1,1,1,1,2
161,2,1,2,1,1,1,1
162,4,4,4,1,1,2,2
163,4,3,2,1,1,1,2
164,1,1,1,1,1,1,2
165,2,1,1,1,1,1,2
166,4,1,2,1,1,1,2
167,2,2,1,1,1,1,1
168,1,1,1,1,1,1,1
169,1,1,1,1,1,1,1
170,1,1,1,1,1,1,2
171,3,2,3,1,1,1,1
172,1,1,1,1,1,1,2
173,2,1,1,1,1,1,1
174,4,3,3,1,1,1,2
175,1,1,2,1,1,1,1
176,4,3,4,1,1,1,2
177,2,1,2,1,1,1,2
178,2,1,2,1,1,1,1
179,2,2,1,1,1,1,2
180,2,1,1,1,1,1,2
181,3,1,2,1,1,1,2
182,1,1,1,1,1,1,2
183,4,2,4,1,1,1,2
184,2,1,2,1,1,1,1
185,1,1,1,1,1,1,2
186,3,3,3,2,1,1,2
187,2,1,1,1,1,1,2
188,3,1,3,2,2,1,1
189,1,1,1,1,1,1,2
190,2,1,2,1,1,1,2
191,1,1,3,1,1,1,2
192,2,1,3,1,1,1,1
193,1,1,1,1,1,2,2
194,2,1,2,1,1,1,2
195,3,3,1,1,1,1,2
196,2,2,2,1,1,1,1
197,1,1,1,1,1,1,1
198,1,1,1,1,1,1,2
199,1,1,1,1,1,1,2
200,2,2,1,1,1,1,2
201,1,1,1,1,1,1,1
202,3,2,1,1,1,1,2
203,4,3,1,1,1,1,1
204,1,2,1,1,1,1,1
205,3,2,3,1,1,1,1
206,1,1,2,1,1,1,2
207,2,2,1,1,2,1,1
208,1,2,2,1,1,1,2
209,1,1,1,1,1,1,1
210,2,2,3,2,3,2,2
211,3,2,2,1,1,1,1
212,4,1,1,1,1,1,1
213,4,3,4,1,1,1,2
214,3,1,1,1,1,1,1
215,4,2,3,2,1,3,1
216,1,1,1,1,1,1,2
217,3,3,1,1,1,1,2
218,2,1,2,1,1,1,1
219,1,1,1,1,1,1,2
220,2,2,3,1,1,1,1
221,3,4,1,1,1,1,1
222,2,2,2,2,2,2,2
223,1,1,2,1,1,1,2
224,1,3,1,1,1,1,1
225,4,4,2,2,1,1,2
226,1,1,2,1,1,1,2
227,4,3,2,1,1,1,2
228,2,1,1,1,1,1,2
229,1,1,1,1,1,1,1
230,2,1,1,1,1,1,1
231,1,2,2,1,1,1,1
232,1,1,1,2,1,1,1
233,1,1,1,3,1,1,1
234,1,1,1,1,1,1,2
235,2,1,1,1,1,1,1
236,2,1,1,1,1,1,1
237,1,1,1,1,1,1,1
238,1,1,3,1,1,1,1
239,1,1,1,1,1,1,1
240,1,1,1,1,1,1,1
241,1,1,1,1,1,1,1
242,1,1,1,1,1,1,1
243,2,2,1,1,1,1,2
244,2,2,1,1,1,1,2
245,1,1,1,1,1,1,1
246,1,1,1,1,1,1,1
247,2,3,2,1,1,1,2
248,4,1,1,1,1,1,1
249,2,1,2,1,1,1,1
250,1,1,2,1,1,1,2
251,3,2,3,1,1,1,1
252,2,1,2,1,1,1,2
253,3,1,3,1,1,1,2
254,4,2,3,1,1,1,2
255,3,1,3,1,1,1,2
256,2,1,1,1,1,1,1
257,1,1,1,1,1,1,1
258,2,1,1,1,1,1,1
259,1,1,2,1,1,1,1
260,2,1,3,1,1,1,1
261,2,1,1,1,1,1,2
262,2,1,1,1,1,1,2
263,2,1,2,1,1,1,1
264,2,2,1,1,1,1,2
265,1,1,1,1,1,1,1
266,2,1,1,1,1,1,2
267,2,2,2,1,1,1,1
268,3,2,2,1,1,1,2
269,2,1,2,1,1,1,2
270,4,1,3,1,1,1,1
271,3,1,1,1,1,1,2
272,2,1,2,1,1,1,1
273,3,2,1,1,1,1,1
274,2,1,1,1,1,1,1
275,4,1,1,1,1,1,1
276,2,1,1,1,1,1,2
277,1,1,1,1,1,1,1
278,2,2,1,1,1,1,1
279,2,2,1,1,1,1,1
280,2,1,1,1,1,1,1
281,3,3,1,1,1,1,1
282,2,1,1,1,1,1,1
283,3,1,2,1,1,1,1
284,2,1,1,1,1,1,2
285,1,1,1,1,1,1,1
286,2,1,1,1,1,1,1
287,3,2,2,1,1,1,1
288,2,1,1,1,1,1,1
289,1,1,1,1,1,1,2
290,2,1,1,1,1,1,1
291,3,2,1,1,1,1,1
292,1,1,1,1,1,1,1
293,2,1,1,1,1,1,1
294,3,3,2,1,1,1,1
295,2,1,1,1,1,1,2
296,2,1,1,1,1,1,1
297,1,1,1,1,1,1,1
298,2,1,1,1,1,1,1
299,3,1,2,1,1,1,1
300,1,2,2,1,1,1,1
301,2,1,1,1,1,1,1
302,2,1,1,1,1,1,1
303,4,3,1,1,1,1,1
304,2,2,2,1,1,1,1
305,3,3,1,1,1,1,1
306,2,1,2,1,1,1,1
307,3,3,2,1,1,1,2
308,4,2,2,1,1,1,1
309,2,1,1,1,1,1,1
310,1,1,1,1,1,1,1
311,3,2,1,1,1,1,1
312,2,1,1,1,1,1,1
313,2,1,1,1,1,1,1
314,2,2,1,1,1,1,1
315,2,1,1,1,1,1,1
316,3,1,1,1,1,1,1
317,1,1,1,1,1,1,2
318,3,3,3,1,1,1,1
319,1,1,1,1,1,1,1
320,3,1,1,1,1,1,1
321,2,2,1,1,1,1,1
322,2,1,1,1,1,1,1
323,2,1,1,1,1,1,1
324,2,1,2,1,1,1,1
325,2,1,1,1,1,1,1
326,2,1,1,2,1,1,1
327,1,1,1,1,1,1,1
328,1,1,1,1,1,1,1
329,2,1,1,1,1,1,1
330,2,3,2,1,1,1,2
331,1,1,2,1,1,1,2
332,2,1,1,1,1,1,1
333,2,1,2,1,1,1,1
334,3,1,2,1,1,1,2
335,3,2,1,1,1,1,2
336,2,2,2,4,1,4,1
337,2,1,2,1,1,1,2
338,1,1,2,1,1,1,2
339,2,2,1,1,1,1,1
340,2,2,2,1,1,1,2
341,1,1,1,1,1,1,2
342,2,1,2,1,1,1,2
343,1,1,2,1,1,1,2
344,1,1,2,1,1,1,1
345,2,1,1,1,1,1,1
346,1,1,1,1,1,1,2
347,1,1,1,1,1,1,2
348,2,1,3,1,1,1,2
349,4,1,4,3,3,4,1
350,1,1,1,1,1,1,2
351,1,1,1,1,1,1,1
352,1,1,3,1,1,1,2
353,1,1,1,1,1,1,1
354,1,1,3,1,1,1,1
355,1,1,1,1,1,1,2
356,2,1,1,1,1,1,1
357,1,1,1,1,1,1,2
358,2,1,1,1,1,1,2
359,2,2,2,2,1,1,1
360,3,1,2,1,1,1,1
361,1,1,2,1,1,1,2
362,3,1,1,1,1,1,2
363,2,1,1,1,1,1,1
364,2,2,2,1,1,1,1
365,1,1,1,1,1,1,1
366,2,1,1,1,1,1,1
367,1,1,1,1,1,1,2
368,1,1,1,1,1,1,2
369,1,1,1,1,1,1,1
370,3,2,2,1,1,1,2
371,2,1,1,1,1,1,2
372,1,1,2,1,1,1,2
373,1,1,2,1,1,1,1
374,3,1,2,1,1,1,1
375,3,1,2,1,1,1,2
376,1,1,1,1,1,1,1
377,3,1,2,1,1,1,2
378,2,2,2,1,1,1,2
379,2,2,2,2,2,1,2
380,2,3,3,3,3,3,1
381,2,1,2,1,1,1,2
382,3,1,2,2,1,1,1
383,2,1,2,1,1,1,1
384,2,1,2,2,2,1,2
385,2,2,1,1,1,1,2
386,2,1,1,2,2,2,1
387,1,1,1,1,1,1,1
388,1,1,2,1,1,1,2
389,3,2,2,1,1,1,1
390,3,1,1,1,1,1,2
391,2,2,1,1,1,1,1
392,2,3,1,1,1,1,1
393,3,1,2,1,1,1,1
394,3,3,4,1,1,1,1
395,3,1,2,1,1,1,1
396,2,1,2,1,1,1,1
397,1,1,3,1,1,1,2
398,4,4,4,1,1,1,1
399,2,2,1,1,3,1,2
400,3,1,3,1,1,1,2
401,1,1,1,1,1,1,1
402,2,2,1,1,1,1,1
403,3,1,3,1,1,1,2
404,2,1,2,1,1,1,2
405,1,1,2,1,1,1,2
406,3,3,2,2,2,3,2
407,1,1,2,1,1,1,1
408,1,1,1,1,1,1,1
409,3,1,2,3,1,1,1
410,1,1,3,1,1,1,2
411,3,1,4,1,1,1,1
412,2,1,2,1,1,1,2
413,3,3,2,1,1,1,2
414,3,1,3,1,1,1,1
415,2,1,1,1,1,1,2
416,3,3,2,1,1,1,2
417,2,1,1,1,1,1,1
418,3,1,3,1,1,1,1
419,1,1,1,1,1,1,2
420,1,1,1,1,1,1,2
421,1,1,1,1,1,1,1
422,1,1,1,1,1,1,2
423,1,1,1,1,1,1,2
424,2,1,2,1,1,1,2
425,2,1,1,1,1,1,2
426,1,1,1,1,2,1,1
427,1,1,2,1,1,1,1
428,2,1,1,1,1,1,1
429,3,1,2,1,1,1,1
430,3,2,3,1,1,1,1
431,3,3,2,1,1,1,2
432,4,1,2,1,1,1,1
433,2,1,1,1,1,1,2
434,3,1,1,1,1,1,2
435,3,2,2,2,1,1,1
436,3,1,1,1,1,1,1
437,3,1,2,2,2,1,1
438,2,2,3,1,1,1,2
439,1,4,3,1,1,1,2
440,1,1,1,1,1,1,2
441,2,3,3,1,1,3,2
442,3,1,2,1,1,1,2
443,3,3,2,1,1,1,2
444,3,1,3,1,1,1,1
445,2,2,2,1,1,1,2
446,2,2,2,1,1,1,2
447,1,2,2,1,1,1,1
448,1,1,1,1,1,1,1
449,3,2,2,1,1,1,1
450,1,1,1,1,1,1,1
451,1,1,2,1,1,1,2
452,3,1,2,1,1,1,1
453,2,1,3,1,1,1,1
454,1,1,1,1,1,1,1
455,1,1,1,1,1,1,1
456,1,1,1,1,1,1,2
457,2,2,1,1,1,1,2
458,1,1,1,1,1,1,1
459,1,1,1,1,1,1,2
460,2,2,3,1,1,1,2
461,2,1,2,1,1,1,1
462,1,1,1,2,2,1,1
463,1,1,1,1,1,1,1
464,2,1,2,1,1,1,1
465,1,1,1,1,1,1,1
466,1,1,1,1,1,1,1
467,1,1,1,1,1,1,1
468,1,1,1,1,1,1,1
469,1,1,2,1,1,1,1
470,1,2,2,1,2,1,2
471,2,1,1,2,1,1,1
472,1,1,1,1,1,1,1
473,1,1,1,1,1,1,1
474,3,1,2,1,1,1,1
475,3,1,2,1,1,1,1
476,1,2,1,1,1,1,2
477,2,1,2,1,1,1,1
478,2,1,2,2,1,1,1
479,2,1,2,1,1,1,1
480,4,4,2,2,2,3,1
481,2,1,1,1,1,1,1
482,2,2,2,1,2,1,2
483,2,1,1,1,1,1,1
484,2,2,1,1,1,1,1
485,3,1,2,1,1,1,1
486,3,3,2,1,1,1,2
487,4,4,4,1,1,1,1
488,4,2,2,1,1,1,2
489,3,1,2,1,1,1,2
490,3,3,1,1,1,1,2
491,2,1,2,1,1,1,1
492,2,1,1,1,1,1,1
493,2,1,2,1,1,1,2
494,2,1,1,1,2,1,2
495,1,1,1,1,1,1,1
496,2,2,2,1,1,1,1
497,3,1,2,1,1,1,1
498,2,1,2,1,1,1,1
499,2,1,1,1,1,1,1
500,1,1,1,1,1,1,2
501,3,1,3,1,1,1,1
502,1,1,1,1,1,1,2
503,2,1,1,1,1,1,2
504,2,2,1,1,1,1,1
505,3,1,1,2,2,2,1
506,2,2,2,1,1,1,1
507,2,1,1,1,1,1,2
508,1,1,1,1,1,1,1
509,3,1,1,1,1,1,2
510,1,1,2,1,1,1,1
511,3,1,1,1,1,1,2
512,2,1,1,1,1,1,2
513,2,1,1,1,1,1,1
514,2,2,2,1,1,1,2
515,2,1,2,1,1,1,2
516,1,1,1,1,1,1,1
517,1,1,1,1,1,1,1
518,3,1,2,1,1,1,1
519,4,1,1,1,1,1,1
520,2,1,1,1,1,1,1
521,3,4,4,1,1,1,1
522,1,2,1,1,1,1,2
523,1,1,1,1,1,1,2
524,2,1,1,1,1,1,1
525,1,1,1,1,1,1,2
526,2,1,1,1,1,1,2
527,2,1,2,1,1,1,2
528,1,1,2,1,1,1,2
529,1,1,1,1,1,1,2
530,1,1,1,1,1,1,1
531,1,1,1,1,1,1,2
532,1,1,3,1,1,1,1
533,1,1,2,1,1,1,1
534,2,2,1,2,2,2,1
535,3,1,3,1,1,1,2
536,2,1,1,1,1,1,2
537,3,1,1,1,1,1,1
538,1,1,1,1,1,1,1
539,3,1,2,1,1,1,2
540,2,1,1,1,1,1,1
541,3,1,3,1,1,1,2
542,2,1,1,1,1,1,1
543,3,1,2,1,2,1,1
544,2,1,1,1,1,1,2
545,2,1,2,2,1,1,1
546,1,1,1,1,1,1,2
547,2,2,1,1,1,1,1
548,1,1,1,1,1,1,1
549,3,1,3,1,1,1,2
550,3,3,3,1,2,1,2
551,4,1,2,1,1,1,2
552,2,1,1,1,1,1,2
553,1,1,3,1,1,1,2
554,2,2,1,1,1,1,1
555,2,1,2,1,1,1,2
556,2,1,1,1,1,1,1
557,2,1,2,1,1,1,2
558,3,1,4,1,1,1,2
559,2,2,1,2,1,1,1
560,1,1,2,1,1,1,2
561,1,1,1,1,1,1,1
562,2,2,2,1,1,1,1
563,2,1,1,1,1,1,1
564,1,1,1,1,1,1,1
565,1,1,1,1,1,1,1
566,4,1,2,1,1,1,1
567,1,1,1,1,1,1,1
568,2,1,2,1,1,1,1
569,2,1,2,1,1,1,1
570,2,1,1,1,1,1,1
571,1,1,1,1,1,1,1
572,3,1,1,1,1,1,1
573,1,1,1,1,1,1,1
574,1,1,1,1,1,1,1
575,1,1,1,1,1,1,1
576,2,1,1,1,1,1,1
577,1,1,1,1,1,1,1
578,1,1,1,1,1,1,1
579,1,1,1,1,1,1,1
580,4,1,2,1,1,1,1
581,3,1,1,1,1,1,1
582,2,2,1,1,1,1,1
583,2,1,2,1,1,1,1
584,2,1,2,1,1,1,1
585,2,1,1,1,1,1,1
586,1,1,1,1,1,1,1
587,3,1,1,1,1,1,1
588,1,1,1,1,1,1,1
589,1,1,1,1,1,1,1
590,1,1,1,1,1,1,1
591,1,1,1,1,1,1,2
592,2,1,2,1,1,1,1
593,1,1,1,1,1,1,1
594,2,2,2,1,1,1,1
595,1,1,1,1,1,1,1
596,1,1,1,1,1,1,1
597,1,1,1,1,1,1,1
598,1,1,2,1,1,1,1
599,1,1,1,1,1,1,1
600,1,1,2,1,1,1,1
601,1,1,1,1,1,1,1
602,2,1,2,1,1,1,2
603,1,1,1,1,1,1,1
604,1,1,2,1,1,1,1
605,1,1,1,1,1,1,1
606,3,2,2,1,2,2,1
607,2,1,1,1,1,1,1
608,4,4,4,4,4,3,1
609,1,1,1,1,1,1,1
610,2,3,4,3,4,4,1
611,1,1,1,1,1,1,1
612,1,1,1,1,1,1,1
613,4,3,4,4,4,4,1
614,2,1,3,1,1,1,1
615,1,1,1,1,1,1,1
616,1,1,1,1,1,1,1
617,1,1,1,1,1,1,1
618,2,1,2,2,1,1,1
619,1,1,1,1,1,1,1
620,1,1,1,1,1,1,1
621,2,1,1,1,1,1,1
622,1,1,1,1,1,1,1
623,1,1,1,1,1,1,1
624,2,1,2,1,1,1,1
625,1,1,1,1,1,1,1
626,1,1,1,1,1,1,1
627,1,1,1,1,1,1,1
628,1,1,1,1,1,1,1
629,1,2,1,2,1,2,1
630,1,1,1,1,1,1,1
631,1,1,1,1,1,1,1
632,1,1,1,1,1,1,1
633,1,1,1,1,1,1,1
634,1,2,2,1,2,2,2
635,1,1,1,1,1,1,1
636,2,2,1,1,1,1,2
637,1,1,1,1,1,1,1
638,1,1,1,1,1,1,1
639,1,1,1,1,1,1,1
640,1,1,1,1,1,1,1
641,1,1,1,1,1,1,1
642,1,1,1,1,1,1,1
643,1,1,1,1,1,1,2
644,1,1,2,1,1,1,1
645,1,1,1,1,1,1,1
646,3,2,2,1,1,2,2
647,1,1,1,1,1,1,2
648,2,2,1,1,1,1,2
649,1,1,1,1,1,1,1
650,1,1,1,1,1,1,1
651,1,1,1,1,1,1,1
652,1,1,2,1,1,1,1
653,2,1,3,1,1,1,1
654,1,1,1,1,1,1,1
655,1,1,1,1,1,1,1
656,1,1,1,3,2,1,1
657,1,1,1,1,1,1,1
658,1,1,1,1,1,1,1
659,1,1,1,1,1,1,1
660,4,4,4,4,4,4,2
661,1,1,1,1,1,1,1
662,2,2,1,1,1,1,2
663,1,1,1,1,1,1,1
664,1,1,1,1,1,1,1
665,1,1,1,1,1,1,1
666,1,1,1,1,1,1,1
667,1,1,1,1,1,1,1
668,2,1,1,1,1,1,1
669,1,1,2,1,1,1,1
670,1,1,1,1,1,1,1
671,2,1,1,1,1,1,1
672,3,2,2,2,1,1,1
673,3,1,1,1,1,1,1
674,3,1,1,1,1,1,1
675,1,1,1,1,1,1,1
676,2,1,1,1,1,1,2
677,1,1,4,2,1,4,1
678,2,2,2,1,1,1,1
679,2,1,2,1,1,1,1
680,2,2,1,1,1,1,1
681,1,1,1,1,1,1,1
682,1,1,1,1,1,1,1
683,2,1,1,1,1,1,1
684,3,3,3,2,1,1,1
685,2,1,2,1,2,1,1
686,2,1,1,1,1,1,2
687,1,1,1,1,1,1,1
688,2,1,2,1,1,1,1
689,2,1,1,1,1,1,2
690,1,1,1,1,1,1,1
691,1,1,1,1,1,1,1
692,3,1,2,1,1,1,1
693,3,1,2,1,1,1,2
694,3,1,1,1,1,1,2
695,3,3,3,1,1,1,1
696,1,1,1,1,1,1,1
697,2,1,1,2,2,2,1
698,2,2,1,1,1,1,1
699,1,1,1,1,1,1,1
700,2,1,2,1,1,1,2
701,1,1,1,1,1,1,2
702,3,2,2,2,1,1,1
703,3,1,1,1,1,1,2
704,2,1,1,1,1,1,1
705,2,2,2,2,2,2,1
706,3,3,2,2,2,1,1
707,3,3,1,2,1,1,1
708,2,1,1,1,1,1,1
709,1,1,1,1,1,1,1
710,2,1,1,1,1,2,1
711,1,1,1,2,3,1,1
712,1,1,1,1,1,1,2
713,2,2,1,1,1,1,1
714,2,1,1,1,1,1,1
715,2,3,2,1,3,1,1
716,2,1,1,1,1,1,1
717,1,1,1,1,1,1,1
718,3,3,1,2,1,1,1
719,2,2,1,1,1,1,1
720,1,1,3,2,1,1,1
721,2,1,1,1,1,1,2
722,2,1,2,3,3,1,1
723,3,1,2,2,1,1,1
724,1,1,1,1,1,1,1
725,3,1,1,1,1,1,1
726,2,1,2,1,1,1,1
727,2,1,2,1,1,1,1
728,3,1,1,1,1,1,1
729,2,2,1,1,1,1,1
730,1,1,1,1,1,1,2
731,2,1,2,1,1,1,1
732,3,1,1,1,1,1,2
733,3,1,1,1,1,1,2
734,2,1,1,1,1,1,2
735,4,4,4,3,3,2,1
736,4,4,3,3,3,1,1
737,1,1,1,1,1,1,1
738,3,3,2,2,2,1,1
739,2,2,1,1,1,1,1
740,2,3,3,1,1,1,2
741,3,3,2,1,1,1,2
742,4,4,3,2,2,2,1
743,2,1,1,1,1,1,1
744,1,1,2,1,1,1,1
745,2,2,2,1,1,1,1
746,1,1,1,1,1,1,1
747,1,1,1,3,1,2,1
748,1,1,3,1,1,1,2
749,1,1,1,2,1,1,1
750,4,3,2,1,1,1,1
751,2,2,1,1,1,1,1
752,2,1,1,1,1,1,1
753,1,1,2,1,1,1,2
754,2,1,2,1,1,1,2
755,3,1,1,1,1,1,1
756,3,1,2,1,1,1,2
757,1,1,1,1,1,1,1
758,1,2,1,1,1,1,1
759,1,1,2,1,1,1,1
760,2,1,2,1,1,1,1
761,1,1,2,1,1,1,2
762,1,1,2,1,1,1,2
763,2,1,1,1,1,1,1
764,1,1,1,1,1,1,1
765,1,1,1,1,1,1,2
766,1,1,1,2,1,1,1
767,3,1,3,1,1,1,1
768,2,1,1,1,1,1,1
769,2,1,1,2,1,1,2
770,1,1,1,1,1,1,1
771,1,1,1,1,1,1,2
772,2,1,3,1,1,1,2
773,2,1,3,1,1,1,2
774,1,1,2,1,1,1,1
775,1,1,1,1,1,1,2
776,4,4,4,1,1,1,1
777,1,2,2,1,1,1,1
778,2,1,1,1,1,1,2
779,3,1,2,1,1,1,2
780,1,1,1,3,1,1,1
781,1,1,1,1,1,1,1
782,2,2,2,1,1,1,1
783,1,1,1,1,1,1,2
784,1,1,1,1,1,1,2
785,2,1,2,1,1,2,2
786,3,3,4,3,1,1,1
787,1,1,1,1,1,1,1
788,2,1,1,1,1,1,2
789,2,1,2,1,1,2,2
790,2,2,2,1,1,1,2
791,2,1,1,1,1,1,2
792,1,1,1,1,1,1,1
793,3,2,2,1,1,1,2
794,3,2,2,2,2,1,1
795,1,1,1,1,1,1,2
796,2,1,1,1,1,1,2
797,1,1,1,1,1,1,1
798,1,1,1,1,1,1,2
799,1,1,1,1,1,1,2
800,3,1,2,2,1,1,2
801,2,1,1,1,1,1,2
802,1,1,1,1,1,1,1
803,3,1,1,1,1,1,2
804,4,3,2,1,1,1,2
805,2,1,1,1,1,1,1
806,3,1,2,1,1,1,2
807,1,1,1,1,1,1,2
808,3,3,4,1,1,1,2
809,1,2,1,2,1,1,1
810,1,1,1,1,1,1,2
811,1,2,1,1,1,1,1
812,1,1,1,1,1,1,2
813,1,1,1,1,1,1,1
814,2,1,1,1,1,1,1
815,1,1,1,1,1,1,1
816,1,1,1,1,1,1,1
817,1,1,1,1,1,1,2
818,1,1,1,1,1,1,2
819,1,1,2,1,1,1,2
820,2,2,3,1,1,1,1
821,2,2,2,1,1,1,1
822,2,1,1,1,1,1,1
823,2,1,3,1,1,1,1
824,1,1,1,1,1,1,1
825,1,1,1,1,1,1,1
826,3,1,3,1,1,1,1
827,2,1,1,1,1,1,2
828,3,1,1,1,1,1,1
829,1,1,1,1,1,1,2
830,2,2,2,1,1,1,1
831,1,1,2,1,1,1,2
832,2,1,1,1,1,1,2
833,2,1,1,1,1,1,2
834,2,1,1,1,1,1,1
835,2,2,2,1,1,1,2
836,1,1,1,1,1,1,1
837,1,1,1,1,1,1,2
838,2,1,1,1,1,1,1
839,1,1,1,1,1,1,2
840,1,1,1,1,1,1,2
841,4,3,3,1,1,1,2
842,3,3,3,3,1,1,1
843,2,1,1,1,1,1,2
844,2,1,1,1,1,1,1
845,2,1,1,1,2,1,2
846,1,1,2,1,1,1,2
847,2,1,1,1,1,1,1
848,1,1,1,1,1,1,1
849,1,1,1,1,1,1,2
850,1,1,1,1,1,1,2
